iter	Passed	Remaining
613	1319	829
614	1322	827
615	1331	829
616	1334	828
617	1338	827
618	1345	827
619	1348	826
620	1351	824
621	1353	822
622	1359	822
623	1361	820
624	1364	818
625	1368	817
626	1373	817
627	1375	814
628	1377	812
629	1380	810
630	1393	815
631	1396	813
632	1399	811
633	1403	810
634	1409	810
635	1412	808
636	1416	807
637	1420	805
638	1422	803
639	1424	801
640	1426	799
641	1432	798
642	1436	797
643	1440	796
644	1447	796
645	1450	794
646	1453	793
647	1456	791
648	1459	789
649	1462	787
650	1465	785
651	1467	783
652	1470	781
653	1474	779
654	1476	777
655	1477	774
656	1479	772
657	1480	769
658	1482	767
659	1483	764
660	1485	762
661	1488	759
662	1490	757
663	1492	755
664	1494	752
665	1496	750
666	1497	747
667	1500	745
668	1502	743
669	1504	741
670	1506	738
671	1507	735
672	1509	733
673	1520	735
674	1550	746
675	1555	745
676	1573	750
677	1576	748
678	1579	746
679	1590	748
680	1594	746
681	1597	744
682	1601	743
683	1604	741
684	1607	739
685	1610	737
686	1615	735
687	1617	733
688	1619	730
689	1621	728
690	1624	726
691	1648	733
692	1650	731
693	1654	729
694	1659	728
695	1661	725
696	1663	723
697	1665	720
698	1667	718
699	1671	716
700	1674	714
701	1676	711
702	1679	709
703	1681	707
704	1684	704
705	1686	702
706	1688	699
707	1691	697
708	1693	694
709	1696	692
710	1698	690
711	1700	687
712	1702	685
713	1704	682
714	1706	680
715	1708	677
716	1712	675
717	1714	673
718	1716	670
719	1719	668
720	1725	667
721	1728	665
722	1729	662
723	1731	660
724	1734	657
725	1736	655
726	1745	655
727	1749	653
728	1751	651
729	1755	649
730	1758	647
731	1761	644
732	1765	643
733	1777	644
734	1789	645
735	1795	644
736	1804	643
737	1807	641
738	1810	639
739	1814	637
740	1819	635
741	1822	633
742	1827	632
743	1833	630
744	1839	629
745	1852	630
746	1855	628
747	1859	626
748	1863	624
749	1870	623
750	1872	620
751	1875	618
752	1877	616
753	1885	615
754	1887	612
755	1889	609
756	1891	607
757	1895	605
758	1897	602
759	1901	600
760	1904	598
761	1906	595
762	1917	595
763	1920	593
764	1929	592
765	1949	595
766	1952	593
767	1962	592
768	1966	590
769	1970	588
770	1979	587
771	1982	585
772	1986	583
773	1989	581
774	1992	578
775	1994	575
